Variable,Category,n,Percent,Mean,SD,Min,Max
Gender,Female,689,5.41,NA,NA,NA,NA
Gender,Male,11999,94.221,NA,NA,NA,NA
Gender,Other,47,0.369,NA,NA,NA,NA
Age_Category,Adult,317,2.489,NA,NA,NA,NA
Age_Category,Emerging Adult,11103,87.185,NA,NA,NA,NA
Age_Category,Young Adult,1315,10.326,NA,NA,NA,NA
Hours_Category,Casual Gamer,882,6.926,NA,NA,NA,NA
Hours_Category,Heavy Gamer,6995,54.927,NA,NA,NA,NA
Hours_Category,Moderate Gamer,4858,38.147,NA,NA,NA,NA
Playstyle,1 IRL Friends + 2 online acquaintances,1,0.008,NA,NA,NA,NA
Playstyle,1v1 matchmaking,1,0.008,NA,NA,NA,NA
Playstyle,3 last options.,1,0.008,NA,NA,NA,NA
Playstyle,50/50 between single and multi with friends,1,0.008,NA,NA,NA,NA
Playstyle,50/50 strangers/acquaintances,1,0.008,NA,NA,NA,NA
Playstyle,75/25 online strangers/online RL friends,1,0.008,NA,NA,NA,NA
Playstyle,A bit of everything mostly multiplayer games tho,1,0.008,NA,NA,NA,NA
Playstyle,A combination of all Multiplayer options,1,0.008,NA,NA,NA,NA
Playstyle,A combination of all of the aboive,1,0.008,NA,NA,NA,NA
Playstyle,"A combination of friends, online acquaintances and strangers, depending on who is online and what I feel like",1,0.008,NA,NA,NA,NA
Playstyle,A mixture of all of them,1,0.008,NA,NA,NA,NA
Playstyle,all,1,0.008,NA,NA,NA,NA
Playstyle,All Multiplayer - Online categories fit.,1,0.008,NA,NA,NA,NA
Playstyle,All multiplayer options listed above.,1,0.008,NA,NA,NA,NA
Playstyle,All mutiplayer - online anwsers; depends on the situation,1,0.008,NA,NA,NA,NA
Playstyle,all of above,1,0.008,NA,NA,NA,NA
Playstyle,all of em ?,1,0.008,NA,NA,NA,NA
Playstyle,all of the above,8,0.063,NA,NA,NA,NA
Playstyle,All of the above,5,0.039,NA,NA,NA,NA
Playstyle,All of the above save offline,1,0.008,NA,NA,NA,NA
Playstyle,all of the online multiplayer choices,1,0.008,NA,NA,NA,NA
Playstyle,all of these,1,0.008,NA,NA,NA,NA
Playstyle,All options,1,0.008,NA,NA,NA,NA
Playstyle,All the above,1,0.008,NA,NA,NA,NA
Playstyle,All the multiplayer options.,1,0.008,NA,NA,NA,NA
Playstyle,All the online ones,1,0.008,NA,NA,NA,NA
Playstyle,Alone and with online acquaintances,1,0.008,NA,NA,NA,NA
Playstyle,alone but on skype,1,0.008,NA,NA,NA,NA
Playstyle,"Alone, with friend and strangers",1,0.008,NA,NA,NA,NA
Playstyle,an equal mix,1,0.008,NA,NA,NA,NA
Playstyle,And with real life friends,1,0.008,NA,NA,NA,NA
Playstyle,aram,1,0.008,NA,NA,NA,NA
Playstyle,As much Online as Offline,1,0.008,NA,NA,NA,NA
Playstyle,"Because of solo q i play most singeplayer but when I am bored of it, I either play with rl friends or online acquaintances so it depends",1,0.008,NA,NA,NA,NA
Playstyle,Both,1,0.008,NA,NA,NA,NA
Playstyle,Both multi- and singleplayer with both friends and strangers,1,0.008,NA,NA,NA,NA
Playstyle,Both Multiplayer online with real life friends and strangers,1,0.008,NA,NA,NA,NA
Playstyle,Both multiplayer with real friends and teammates,1,0.008,NA,NA,NA,NA
Playstyle,Both Offline and Online,1,0.008,NA,NA,NA,NA
Playstyle,"Both online with friends, and strangers.",1,0.008,NA,NA,NA,NA
Playstyle,both real life and online friends,1,0.008,NA,NA,NA,NA
Playstyle,Both Single and Online with friends,1,0.008,NA,NA,NA,NA
Playstyle,Both strangers and real life friends,1,0.008,NA,NA,NA,NA
Playstyle,both with friends and with strangers,1,0.008,NA,NA,NA,NA
Playstyle,Both with real life friends and online friends,1,0.008,NA,NA,NA,NA
Playstyle,By myself/with 1 friend whilst communicating our soloq expreicnes with each other over skype,1,0.008,NA,NA,NA,NA
Playstyle,Co-op with my cousin,1,0.008,NA,NA,NA,NA
Playstyle,"Combination of Online with friends, and online with strangers",1,0.008,NA,NA,NA,NA
Playstyle,Depends,1,0.008,NA,NA,NA,NA
Playstyle,DuoQ/Ranked Team / Strangers,1,0.008,NA,NA,NA,NA
Playstyle,Either playing with strangers or friends is fine,1,0.008,NA,NA,NA,NA
Playstyle,Either single player or multiplayer with RL friends,1,0.008,NA,NA,NA,NA
Playstyle,Equal mix of real life friends and online,1,0.008,NA,NA,NA,NA
Playstyle,Everything,1,0.008,NA,NA,NA,NA
Playstyle,Everything from above in the same amount,1,0.008,NA,NA,NA,NA
Playstyle,"Fifa with friends in room (ps4), LoL online with strangers tryhard ranked, CSGO competetive with friends.",1,0.008,NA,NA,NA,NA
Playstyle,"For League - Multiplayer, Online with strangers. For WoW, Multiplayer, Online with real life friends",1,0.008,NA,NA,NA,NA
Playstyle,Friends and Others,1,0.008,NA,NA,NA,NA
Playstyle,friends and strangers,1,0.008,NA,NA,NA,NA
Playstyle,"friends online, also solo player",1,0.008,NA,NA,NA,NA
Playstyle,Half of games with real life friends and half with online friends,1,0.008,NA,NA,NA,NA
Playstyle,half single player half multiplayer with both person in same room and online friends,1,0.008,NA,NA,NA,NA
Playstyle,I'm versatile,1,0.008,NA,NA,NA,NA
Playstyle,I do te 5 choices above,1,0.008,NA,NA,NA,NA
Playstyle,I duo with my boyfriend pretty much all the time.,1,0.008,NA,NA,NA,NA
Playstyle,"i play a lot of ranked with strangers, but also play a lot with my IRL friends in normal games... so its kinda 50/50",1,0.008,NA,NA,NA,NA
Playstyle,"I play both single and multiplayer about evenly. Multiplayer offline, online with strangers, with teammates, real friends, and by myself in single player",1,0.008,NA,NA,NA,NA
Playstyle,I play ranked with strangers in solo que and I play with my friends in normals,1,0.008,NA,NA,NA,NA
Playstyle,I play with both real life friends and acquaintances.,1,0.008,NA,NA,NA,NA
Playstyle,I play with people I meet online and real life friends.,1,0.008,NA,NA,NA,NA
Playstyle,I prefer playing with RLF but I also play it to make a living.,1,0.008,NA,NA,NA,NA
Playstyle,I usually play online with my real life friends and the internet ones alike.,1,0.008,NA,NA,NA,NA
Playstyle,It's an online game,1,0.008,NA,NA,NA,NA
Playstyle,It's really a bit of all,1,0.008,NA,NA,NA,NA
Playstyle,Its a mixture of both single player and online with strangers,1,0.008,NA,NA,NA,NA
